date_min_t;lon_t;lat_t;min_t;hora
2012 12 28 02 45;-74.407;6.628;216.2;02
2012 12 31 23 15;-74.836;5.627;198.5;23
2012 12 31 21 45;-74.836;5.484;226.9;21
2013 01 25 01 45;-73.264;7.487;218.2;01
2013 01 26 00 45;-73.407;7.344;212.5;00
2013 02 01 02 45;-73.836;6.485;210.0;02
2013 02 03 23 15;-73.693;6.772;210.6;23
2013 02 04 02 45;-74.55;5.913;212.6;02
2013 02 04 21 15;-73.55;7.916;217.6;21
2013 02 05 02 45;-73.979;7.058;211.3;02
2013 02 05 21 15;-73.264;7.344;212.4;21
2013 02 06 03 15;-73.979;6.915;199.8;03
2013 02 06 20 15;-73.693;7.63;204.2;20
2013 02 09 01 15;-73.55;6.915;199.9;01
2013 02 08 21 45;-73.979;6.342;215.3;21
2013 02 09 02 45;-73.836;7.201;210.1;02
2013 02 13 02 15;-74.836;5.055;217.9;02
2013 02 17 21 45;-73.693;7.201;212.0;21
2013 02 17 21 15;-73.836;7.201;210.1;21
2013 02 19 23 45;-74.693;5.627;196.2;23
2013 02 19 21 15;-73.693;6.915;226.0;21
2013 02 21 01 45;-74.407;6.199;213.6;01
2013 02 21 23 15;-74.836;5.913;191.8;23
2013 02 23 21 15;-74.55;5.77;205.3;21
2013 02 24 04 15;-74.693;5.77;200.9;04
2013 02 25 02 45;-73.979;6.772;195.2;02
2013 02 26 03 15;-74.407;6.199;200.7;03
2013 02 26 01 15;-74.55;5.913;224.2;01
2013 02 26 05 45;-74.836;5.055;222.8;05
2013 02 27 02 45;-73.979;6.772;197.9;02
2013 02 27 02 15;-74.264;6.772;198.3;02
2013 02 27 23 15;-73.979;6.485;189.1;23
2013 02 28 23 45;-73.836;7.63;192.1;23
